feature,importance
contact,0.42518467784649133
month,0.24886820874449364
prev_success,0.1930442501536142
balance,0.1852859707151653
day,0.15812297637451483
housing,0.1574549858851458
marital,0.13162406775882105
season,0.12398602617489494
age,0.10302160049741774
loan,0.08997602125761078
pdays,0.07503025392680308
education,0.07044160030679444
campaign,0.06619822702556431
poutcome,0.0627635502405291
campaign_intensity,0.05193361762799535
age_group,0.038100881884040025
job,0.03763374492139729
previous,0.03434225940163211
default,0.0034250512846297973
